amount,vendor,account,posting_date,user_id,description,label
1536.59,Vendor_9,Sales,2023-10-05,1019,Regular business transaction,0
1130.95,Vendor_11,HR,2023-06-19,1010,Regular business transaction,0
892.57,Vendor_13,Legal,2023-01-27,1081,Regular business transaction,0
933.36,Vendor_3,IT,2023-11-13,1001,Regular business transaction,0
511.72,Vendor_15,Marketing,2023-04-17,1024,Regular business transaction,0
1119.37,Vendor_8,Sales,2023-06-21,1033,Regular business transaction,0
1208.89,Vendor_18,Legal,2023-07-26,1028,Regular business transaction,0
1169.49,Vendor_1,Sales,2023-10-02,1063,Regular business transaction,0
451.18,Vendor_6,Legal,2023-06-24,1033,Regular business transaction,0
521.04,Vendor_18,Marketing,2023-12-08,1074,Regular business transaction,0
1189.58,Vendor_17,Sales,2023-06-10,1016,Regular business transaction,0
1429.15,Vendor_19,IT,2023-11-28,1055,Regular business transaction,0
799.96,Vendor_17,Legal,2023-10-17,1052,Regular business transaction,0
940.73,Vendor_18,Finance,2023-08-31,1002,Regular business transaction,0
1417.11,Vendor_13,Sales,2023-11-12,1074,Regular business transaction,0
723.2,Vendor_17,Finance,2023-04-02,1021,Regular business transaction,0
1253.75,Vendor_1,Sales,2023-01-10,1033,Regular business transaction,0
441.73,Vendor_16,Finance,2023-08-05,1055,Regular business transaction,0
1223.62,Vendor_17,Finance,2023-11-21,1044,Regular business transaction,0
685.35,Vendor_13,HR,2023-10-03,1016,Regular business transaction,0
869.35,Vendor_2,IT,2023-01-03,1087,Regular business transaction,0
887.03,Vendor_4,Finance,2023-03-04,1081,Regular business transaction,0
1131.38,Vendor_2,HR,2023-02-02,1092,Regular business transaction,0
1581.69,Vendor_17,HR,2023-11-06,1008,Regular business transaction,0
1145.14,Vendor_13,HR,2023-04-11,1009,Regular business transaction,0
1202.86,Vendor_19,Finance,2023-05-14,1084,Regular business transaction,0
1381.51,Vendor_18,Marketing,2023-02-02,1013,Regular business transaction,0
1052.78,Vendor_13,Finance,2023-10-20,1042,Regular business transaction,0
992.77,Vendor_13,Admin,2023-05-26,1032,Regular business transaction,0
733.4,Vendor_8,Finance,2023-12-18,1032,Regular business transaction,0
720.01,Vendor_20,IT,2023-07-27,1092,Regular business transaction,0
1080.92,Vendor_12,Admin,2023-09-10,1017,Regular business transaction,0
1129.08,Vendor_5,Admin,2023-03-05,1041,Regular business transaction,0
919.43,Vendor_14,Legal,2023-04-07,1088,Regular business transaction,0
1370.04,Vendor_16,Admin,2023-02-05,1085,Regular business transaction,0
1044.7,Vendor_18,Sales,2023-08-06,1034,Regular business transaction,0
1317.63,Vendor_5,Legal,2023-08-10,1000,Regular business transaction,0
1251.58,Vendor_14,Marketing,2023-08-15,1021,Regular business transaction,0
941.74,Vendor_11,Admin,2023-06-08,1076,Regular business transaction,0
749.2,Vendor_12,Admin,2023-06-17,1057,Regular business transaction,0
1067.73,Vendor_13,Legal,2023-04-05,1041,Regular business transaction,0
1086.11,Vendor_8,Finance,2023-02-04,1015,Regular business transaction,0
949.57,Vendor_9,Legal,2023-01-27,1035,Regular business transaction,0
1572.78,Vendor_3,HR,2023-06-01,1050,Regular business transaction,0
1216.01,Vendor_1,Admin,2023-05-03,1083,Regular business transaction,0
1462.75,Vendor_4,Legal,2023-10-05,1023,Regular business transaction,0
769.76,Vendor_14,Admin,2023-08-20,1039,Regular business transaction,0
1368.35,Vendor_1,Finance,2023-01-05,1042,Regular business transaction,0
633.73,Vendor_13,Sales,2023-02-05,1077,Regular business transaction,0
1017.88,Vendor_5,IT,2023-04-04,1069,Regular business transaction,0
1253.79,Vendor_7,HR,2023-10-29,1032,Regular business transaction,0
908.2,Vendor_2,Sales,2023-07-15,1087,Regular business transaction,0
994.19,Vendor_15,Legal,2023-05-31,1076,Regular business transaction,0
1043.06,Vendor_12,Admin,2023-08-14,1079,Regular business transaction,0
1396.41,Vendor_16,Sales,2023-03-17,1005,Regular business transaction,0
860.08,Vendor_16,Sales,2023-02-08,1050,Regular business transaction,0
973.14,Vendor_13,Marketing,2023-10-20,1007,Regular business transaction,0
1053.16,Vendor_11,Marketing,2023-04-10,1010,Regular business transaction,0
390.88,Vendor_15,Legal,2023-05-03,1082,Regular business transaction,0
711.77,Vendor_13,Finance,2023-04-24,1003,Regular business transaction,0
1200.43,Vendor_11,Finance,2023-09-18,1021,Regular business transaction,0
958.77,Vendor_9,HR,2023-01-02,1018,Regular business transaction,0
858.44,Vendor_12,HR,2023-07-22,1089,Regular business transaction,0
1034.49,Vendor_20,Legal,2023-06-17,1098,Regular business transaction,0
1147.42,Vendor_17,HR,2023-08-12,1097,Regular business transaction,0
1262.58,Vendor_1,Finance,2023-11-07,1078,Regular business transaction,0
928.03,Vendor_14,Sales,2023-12-07,1018,Regular business transaction,0
1078.47,Vendor_11,Sales,2023-12-12,1044,Regular business transaction,0
862.05,Vendor_12,IT,2023-10-08,1090,Regular business transaction,0
1597.22,Vendor_5,Finance,2023-02-26,1000,Regular business transaction,0
1117.94,Vendor_6,HR,2023-04-03,1009,Regular business transaction,0
927.58,Vendor_7,Finance,2023-04-07,1083,Regular business transaction,0
1042.44,Vendor_15,Admin,2023-08-30,1021,Regular business transaction,0
1066.58,Vendor_18,Sales,2023-10-09,1099,Regular business transaction,0
1113.44,Vendor_9,HR,2023-04-28,1020,Regular business transaction,0
980.47,Vendor_4,Legal,2023-01-30,1032,Regular business transaction,0
1040.05,Vendor_4,HR,2023-08-30,1023,Regular business transaction,0
613.22,Vendor_10,Marketing,2023-01-16,1013,Regular business transaction,0
1066.74,Vendor_18,Legal,2023-03-08,1030,Regular business transaction,0
788.46,Vendor_3,Marketing,2023-10-03,1058,Regular business transaction,0
957.81,Vendor_9,Admin,2023-07-28,1094,Regular business transaction,0
1324.04,Vendor_4,Marketing,2023-08-12,1087,Regular business transaction,0
1244.41,Vendor_19,Finance,2023-10-26,1024,Regular business transaction,0
1424.66,Vendor_13,Sales,2023-09-18,1040,Regular business transaction,0
1447.94,Vendor_13,Finance,2023-09-11,1048,Regular business transaction,0
1329.8,Vendor_19,IT,2023-11-23,1018,Regular business transaction,0
1044.86,Vendor_2,Legal,2023-11-07,1025,Regular business transaction,0
1003.39,Vendor_6,Legal,2023-03-01,1029,Regular business transaction,0
1485.77,Vendor_15,Admin,2023-12-05,1033,Regular business transaction,0
1153.93,Vendor_2,Finance,2023-12-11,1056,Regular business transaction,0
1510.45,Vendor_8,Admin,2023-10-17,1057,Regular business transaction,0
542.07,Vendor_7,HR,2023-09-08,1054,Regular business transaction,0
816.35,Vendor_16,Sales,2023-03-21,1096,Regular business transaction,0
923.76,Vendor_2,Legal,2023-09-08,1020,Regular business transaction,0
1022.03,Vendor_12,Sales,2023-03-12,1012,Regular business transaction,0
1001.76,Vendor_1,HR,2023-01-09,1016,Regular business transaction,0
1217.8,Vendor_2,Legal,2023-07-07,1050,Regular business transaction,0
778.09,Vendor_9,HR,2023-06-29,1062,Regular business transaction,0
473.87,Vendor_13,Finance,2023-11-03,1057,Regular business transaction,0
465.2,Vendor_1,HR,2023-07-20,1019,Regular business transaction,0
745.12,Vendor_6,HR,2023-10-24,1003,Regular business transaction,0
551.94,Vendor_20,Finance,2023-02-08,1030,Regular business transaction,0
1110.57,Vendor_2,IT,2023-11-24,1012,Regular business transaction,0
802.7,Vendor_2,HR,2023-10-14,1064,Regular business transaction,0
820.0,Vendor_10,HR,2023-11-23,1049,Regular business transaction,0
988.58,Vendor_1,IT,2023-11-14,1096,Regular business transaction,0
602.65,Vendor_13,Finance,2023-02-13,1046,Regular business transaction,0
315.46,Vendor_14,Admin,2023-07-08,1033,Regular business transaction,0
1107.67,Vendor_8,IT,2023-05-01,1066,Regular business transaction,0
639.61,Vendor_4,Marketing,2023-05-01,1028,Regular business transaction,0
765.18,Vendor_7,Marketing,2023-06-04,1075,Regular business transaction,0
1388.63,Vendor_4,Finance,2023-12-18,1066,Regular business transaction,0
1389.36,Vendor_2,HR,2023-02-26,1017,Regular business transaction,0
545.44,Vendor_16,Legal,2023-03-10,1032,Regular business transaction,0
1129.93,Vendor_3,Marketing,2023-03-01,1017,Regular business transaction,0
764.68,Vendor_18,Admin,2023-03-02,1095,Regular business transaction,0
1326.67,Vendor_4,IT,2023-08-18,1035,Regular business transaction,0
954.17,Vendor_19,Legal,2023-08-30,1099,Regular business transaction,0
738.95,Vendor_20,HR,2023-07-03,1033,Regular business transaction,0
928.11,Vendor_20,Finance,2023-07-01,1042,Regular business transaction,0
1041.64,Vendor_14,Admin,2023-11-30,1093,Regular business transaction,0
819.03,Vendor_2,IT,2023-08-01,1031,Regular business transaction,0
658.27,Vendor_7,Marketing,2023-10-22,1005,Regular business transaction,0
603.39,Vendor_13,HR,2023-01-19,1095,Regular business transaction,0
769.59,Vendor_13,Legal,2023-12-30,1095,Regular business transaction,0
1083.94,Vendor_5,IT,2023-04-23,1098,Regular business transaction,0
197.04,Vendor_8,Finance,2023-09-16,1033,Regular business transaction,0
870.97,Vendor_15,Legal,2023-01-07,1054,Regular business transaction,0
1361.54,Vendor_14,Admin,2023-02-14,1035,Regular business transaction,0
930.74,Vendor_10,Legal,2023-03-16,1001,Regular business transaction,0
1072.25,Vendor_14,HR,2023-02-17,1018,Regular business transaction,0
925.96,Vendor_2,Admin,2023-04-24,1058,Regular business transaction,0
739.21,Vendor_19,IT,2023-09-29,1009,Regular business transaction,0
1164.8,Vendor_14,Admin,2023-03-18,1077,Regular business transaction,0
1315.45,Vendor_19,IT,2023-06-22,1091,Regular business transaction,0
1232.66,Vendor_20,Finance,2023-08-19,1023,Regular business transaction,0
1007.97,Vendor_7,Legal,2023-08-06,1095,Regular business transaction,0
1025.31,Vendor_13,Admin,2023-04-22,1073,Regular business transaction,0
650.74,Vendor_14,Admin,2023-11-16,1036,Regular business transaction,0
902.53,Vendor_6,IT,2023-09-05,1042,Regular business transaction,0
1491.72,Vendor_16,Admin,2023-02-08,1011,Regular business transaction,0
541.4,Vendor_14,HR,2023-04-17,1045,Regular business transaction,0
1247.56,Vendor_14,Marketing,2023-06-02,1058,Regular business transaction,0
680.49,Vendor_20,Marketing,2023-09-02,1007,Regular business transaction,0
705.64,Vendor_1,Sales,2023-12-18,1064,Regular business transaction,0
863.26,Vendor_2,IT,2023-01-21,1066,Regular business transaction,0
1132.53,Vendor_5,IT,2023-06-03,1016,Regular business transaction,0
1390.91,Vendor_16,Finance,2023-02-09,1052,Regular business transaction,0
838.13,Vendor_10,IT,2023-03-31,1045,Regular business transaction,0
560.36,Vendor_17,Marketing,2023-12-14,1044,Regular business transaction,0
667.54,Vendor_14,Finance,2023-07-08,1001,Regular business transaction,0
816.59,Vendor_14,Legal,2023-09-12,1094,Regular business transaction,0
762.63,Vendor_3,Legal,2023-02-05,1040,Regular business transaction,0
732.02,Vendor_4,IT,2023-02-25,1086,Regular business transaction,0
972.73,Vendor_6,HR,2023-10-28,1008,Regular business transaction,0
1266.82,Vendor_18,Marketing,2023-06-11,1067,Regular business transaction,0
895.49,Vendor_8,Legal,2023-06-29,1013,Regular business transaction,0
456.69,Vendor_9,Sales,2023-02-02,1053,Regular business transaction,0
924.97,Vendor_2,Legal,2023-08-25,1030,Regular business transaction,0
950.26,Vendor_9,Admin,2023-10-22,1025,Regular business transaction,0
1041.74,Vendor_2,Finance,2023-01-12,1086,Regular business transaction,0
1153.96,Vendor_8,Sales,2023-11-24,1014,Regular business transaction,0
1423.89,Vendor_16,Marketing,2023-04-11,1081,Regular business transaction,0
722.42,Vendor_2,Marketing,2023-09-04,1098,Regular business transaction,0
761.3,Vendor_10,HR,2023-02-18,1074,Regular business transaction,0
1284.74,Vendor_4,Sales,2023-12-11,1014,Regular business transaction,0
1059.78,Vendor_12,Admin,2023-09-14,1050,Regular business transaction,0
380.63,Vendor_15,Finance,2023-02-25,1092,Regular business transaction,0
1273.85,Vendor_3,HR,2023-01-15,1013,Regular business transaction,0
1112.69,Vendor_12,Sales,2023-10-23,1093,Regular business transaction,0
987.16,Vendor_1,Sales,2023-06-22,1022,Regular business transaction,0
1008.12,Vendor_7,Finance,2023-01-10,1041,Regular business transaction,0
1167.04,Vendor_18,Finance,2023-10-26,1054,Regular business transaction,0
1013.73,Vendor_4,HR,2023-06-22,1048,Regular business transaction,0
732.75,Vendor_15,IT,2023-01-08,1081,Regular business transaction,0
359.28,Vendor_15,Admin,2023-10-01,1004,Regular business transaction,0
1158.27,Vendor_9,Sales,2023-05-09,1080,Regular business transaction,0
470.46,Vendor_19,HR,2023-10-04,1099,Regular business transaction,0
1042.81,Vendor_2,IT,2023-12-25,1057,Regular business transaction,0
874.95,Vendor_15,Legal,2023-02-14,1041,Regular business transaction,0
1001.93,Vendor_20,IT,2023-10-01,1052,Regular business transaction,0
899.84,Vendor_14,Legal,2023-08-31,1099,Regular business transaction,0
1373.74,Vendor_14,HR,2023-01-05,1087,Regular business transaction,0
609.49,Vendor_14,Finance,2023-08-26,1059,Regular business transaction,0
1134.83,Vendor_16,Sales,2023-12-03,1080,Regular business transaction,0
1342.93,Vendor_16,Sales,2023-11-18,1065,Regular business transaction,0
929.93,Vendor_9,IT,2023-01-15,1053,Regular business transaction,0
925.93,Vendor_1,Admin,2023-09-24,1086,Regular business transaction,0
730.42,Vendor_13,Legal,2023-09-20,1030,Regular business transaction,0
1196.29,Vendor_18,Legal,2023-09-29,1014,Regular business transaction,0
895.31,Vendor_4,IT,2023-04-29,1018,Regular business transaction,0
879.71,Vendor_3,IT,2023-06-24,1021,Regular business transaction,0
976.0,Vendor_9,HR,2023-04-11,1040,Regular business transaction,0
926.88,Vendor_10,IT,2023-05-08,1076,Regular business transaction,0
1298.83,Vendor_10,HR,2023-10-08,1011,Regular business transaction,0
1101.7,Vendor_15,Marketing,2023-04-25,1079,Regular business transaction,0
1142.64,Vendor_17,IT,2023-09-08,1049,Regular business transaction,0
1229.07,Vendor_8,HR,2023-01-27,1057,Regular business transaction,0
1215.03,Vendor_14,HR,2023-07-10,1004,Regular business transaction,0
1162.0,Vendor_18,Sales,2023-09-09,1001,Regular business transaction,0
701.03,Vendor_3,Sales,2023-08-04,1045,Regular business transaction,0
