amount,vendor,account,posting_date,user_id,description,label
1132.37,Vendor_7,Admin,2023-03-15,1008,Regular business transaction,0
900.74,Vendor_5,Admin,2023-04-23,1030,Regular business transaction,0
1080.82,Vendor_18,Legal,2023-03-22,1027,Regular business transaction,0
997.8,Vendor_13,Legal,2023-07-23,1065,Regular business transaction,0
892.35,Vendor_19,Admin,2023-05-18,1041,Regular business transaction,0
1181.04,Vendor_10,Admin,2023-07-30,1016,Regular business transaction,0
1022.36,Vendor_3,Finance,2023-10-22,1083,Regular business transaction,0
1166.96,Vendor_20,IT,2023-09-03,1007,Regular business transaction,0
1330.76,Vendor_12,HR,2023-11-20,1065,Regular business transaction,0
1607.86,Vendor_4,HR,2023-03-20,1027,Regular business transaction,0
1097.92,Vendor_8,Sales,2023-04-05,1014,Regular business transaction,0
1079.95,Vendor_10,Admin,2023-10-31,1016,Regular business transaction,0
1059.3,Vendor_14,Admin,2023-08-24,1031,Regular business transaction,0
1400.45,Vendor_1,Finance,2023-06-22,1005,Regular business transaction,0
1340.1,Vendor_17,Sales,2023-09-22,1090,Regular business transaction,0
1141.52,Vendor_13,Admin,2023-06-15,1094,Regular business transaction,0
1080.81,Vendor_6,IT,2023-07-08,1091,Regular business transaction,0
1044.69,Vendor_2,Finance,2023-07-27,1070,Regular business transaction,0
1124.41,Vendor_9,Sales,2023-07-30,1013,Regular business transaction,0
1298.77,Vendor_16,IT,2023-11-05,1081,Regular business transaction,0
779.0,Vendor_10,Finance,2023-06-10,1010,Regular business transaction,0
914.75,Vendor_16,Finance,2023-01-23,1070,Regular business transaction,0
776.06,Vendor_3,IT,2023-02-27,1019,Regular business transaction,0
895.61,Vendor_1,Sales,2023-05-17,1071,Regular business transaction,0
130.23,Vendor_11,Admin,2023-07-20,1032,Regular business transaction,0
1670.33,Vendor_16,Admin,2023-02-05,1062,Regular business transaction,0
1009.85,Vendor_3,IT,2023-07-13,1045,Regular business transaction,0
